id,item_name,control_id,quantity,unit,supplier,location,stock_status,condition_status,remarks,laboratory,low_stock_threshold,created_at
205,System Unit,Deep cool with power cable,10,pcs,N/A,Computer Laboratory,In Stock,Available,N/A,Computer Laboratory,1,2026-01-04 09:48:02.4158+00
206,Monitor,Phillips with power cable and VGA cable,10,pcs,N/A,Computer Laboratory,In Stock,Available,N/A,Computer Laboratory,1,2026-01-04 09:48:02.4158+00
207,Mouse and Keyboard,A4Tech,10,pcs,N/A,Computer Laboratory,In Stock,Available,N/A,Computer Laboratory,1,2026-01-04 09:48:02.4158+00
208,Power Cord,FESTO,10,pcs,N/A,Computer Laboratory,In Stock,Available,N/A,Computer Laboratory,1,2026-01-04 09:48:02.4158+00
209,PIC Microcontroller System Trainer,MTS-887 PIC16F,10,pcs,N/A,Computer Laboratory,In Stock,Available,"Includes: Offline Complete Electronics 3D Circuit Design, Simulation and Circuit Analysis, Matrix Technology Solutions Flowcode 7 (Standard for 8bit PIC User License Software)",Computer Laboratory,1,2026-01-04 09:48:02.4158+00
210,LAN Cable,N/A,0,pcs,N/A,Computer Laboratory,In Stock,Available,,Computer Laboratory,10,2026-01-04 09:48:02.4158+00
211,Tutor for Arduino,MTS-101 with MS8250D for each piece,3,pcs,N/A,Computer Laboratory,In Stock,Available,Missing: MS8250D 3pcs,Computer Laboratory,1,2026-01-04 09:48:02.4158+00
212,AVR,N/A,5,pcs,N/A,Computer Laboratory,Low Stock,Available,,Computer Laboratory,10,2026-01-04 09:48:02.4158+00
213,System Unit,N/A,10,pcs,N/A,Computer Laboratory,In Stock,Available,,Computer Laboratory,1,2026-01-04 09:48:02.4158+00
214,Monitor,N/A,10,pcs,N/A,Computer Laboratory,In Stock,Available,,Computer Laboratory,1,2026-01-04 09:48:02.4158+00
215,Mouse and Keyboard,N/A,10,pcs,N/A,Computer Laboratory,In Stock,Available,,Computer Laboratory,1,2026-01-04 09:48:02.4158+00
216,Digital Theory and Experimentation using Integrated Circuits (Book),Levine,7,pcs,N/A,Computer Laboratory,In Stock,Available,Location: Central Storage Room,Computer Laboratory,1,2026-01-04 09:48:02.4158+00
217,Wifi Modem,Tp-Link TL-WR840N,10,pcs,N/A,Computer Laboratory,In Stock,Available,"SN: 2198461017997, 2198461017996, 2198461017224, 2198461018000, 2198461017226, 2198461017221, 2198461017238, 2198461017998, 2198461017999, 2198461017239",Computer Laboratory,1,2026-01-04 09:48:02.4158+00
218,RSLogix,FESTO,9,pcs,N/A,Computer Laboratory,In Stock,Available,"Accessories: CD , activation key, manual|\r\nMissing: 1pc",Computer Laboratory,1,2026-01-04 09:48:02.4158+00
219,BNC (M) 20 AWG Leads,RANDALL,3,pcs,N/A,Computer Laboratory,In Stock,Available,,Computer Laboratory,1,2026-01-04 09:48:02.4158+00
220,BNC (M) 20 AWG Leads,POMONA,8,pcs,N/A,Computer Laboratory,In Stock,Available,,Computer Laboratory,1,2026-01-04 09:48:02.4158+00
221,BNC (F) 20 AWG Leads,POMONA,8,pcs,N/A,Computer Laboratory,In Stock,Available,,Computer Laboratory,1,2026-01-04 09:48:02.4158+00
222,USB-Serial Adapter,FTDI CHIP,2,pcs,N/A,Computer Laboratory,In Stock,Available,,Computer Laboratory,1,2026-01-04 09:48:02.4158+00
223,PC To Micrologic Comms. cable,FESTO 587566,10,pcs,N/A,Computer Laboratory,In Stock,Available,,Computer Laboratory,1,2026-01-04 09:48:02.4158+00
224,USB-RS232 ADAPTER CABLE,FTDI CHIP,10,pcs,N/A,Computer Laboratory,In Stock,Available,"SN: 200400425, 200401369, 200504151, 200400493, 200401388, 200400460, 200400420, 200401397, 200400401, 200401390",Computer Laboratory,1,2026-01-04 09:48:02.4158+00
225,Digital Multimeter with USB,Mastech M8250D,10,pcs,N/A,Computer Laboratory,In Stock,Available,Desc: 9V Battery Operated\r\nincluding 3pcs from the Tutor for Arduino Kit,Computer Laboratory,1,2026-01-04 09:48:02.4158+00
226,Digital Multimeter with USB,XL830L,4,pcs,N/A,Computer Laboratory,In Stock,Available,Desc: 9V Battery Operated,Computer Laboratory,1,2026-01-04 09:48:02.4158+00
227,Arduino OCmponents,N/A,15,pcs,N/A,Computer Laboratory,In Stock,Available,,Computer Laboratory,1,2026-01-04 09:48:02.4158+00
228,Yellow Toolbox,N/A,2,pcs,N/A,Computer Laboratory,In Stock,Available,"Content: 5x4"" Phillips screwdriver, 6x4""flat screwdriver, 5x crimping tool, 54x RJ45, 70x RJ11",Computer Laboratory,1,2026-01-04 09:48:02.4158+00
229,45 in 1 Sensor Module Starter Kit,N/A,15,pcs,N/A,Computer Laboratory,In Stock,Available,"Date Received: January 11, 2023\r\nDN: 2637H",Computer Laboratory,1,2026-01-04 09:48:02.4158+00
230,Arduino Coding Set,Brick 'R' Knowledge,30,pcs,N/A,Computer Laboratory,In Stock,Available,"Date Received: March 18, 2021\r\nDN: 2637 H\r\nBRK-125697",Computer Laboratory,1,2026-01-04 09:48:02.4158+00
231,Programmable Logic Controller Basic Programming (Instructor Guide),FESTo,9,pcs,N/A,Computer Laboratory,In Stock,Available,"Date Received: March 18, 2021\r\nDN: 34V\r\n3052288100000\r\nMissing: 1pc",Computer Laboratory,1,2026-01-04 09:48:02.4158+00
232,Programmable Logic Controller Basic Programming (Student Guide),FESTO,10,pcs,N/A,Computer Laboratory,In Stock,Available,"Date Received: March 18, 2021\r\nDN: 34V\r\n3052288110000",Computer Laboratory,1,2026-01-04 09:48:02.4158+00
233,Programmable Logic Controller Basic Programming,FESTO,10,pcs,N/A,Computer Laboratory,In Stock,Available,"Date Received: March 18, 2021\r\nDN: 34V\r\nAB MicroLogix 1100 with Case",Computer Laboratory,1,2026-01-04 09:48:02.4158+00
234,Digital Lab Package(Unit IDL-800A),N/A,7,pcs,N/A,Computer Laboratory,In Stock,Available,"Date Received: October 1, 2021\r\nDN: 2113 H",Computer Laboratory,1,2026-01-04 09:48:02.4158+00
235,Digital Lab Package (Overlay),N/A,7,pcs,N/A,Computer Laboratory,In Stock,Available,"date Received: October 1, 2021\r\nDN: 2113 H\r\nAccessories: 7x1 Digital Overlay Learning System manual, IC kit, 6 switches, 2 potentiometer, breadboard, schematic diagrams, stencil 7x jump wire kit",Computer Laboratory,1,2026-01-04 09:48:02.4158+00
236,System Unit,Deep cool,10,pcs,N/A,Computer Laboratory,In Stock,Available,,Computer Laboratory,10,2026-01-04 09:48:02.4158+00
238,Monitor,Phillips,10,pcs,N/A,Computer Laboratory,In Stock,Available,"SN: 2V5A19303004263, 2V5A19303004737, 2V5A1917100522, 2V5A19303004251, 2V5A191700521, 2V5A1917004009, 2V5A1933004312, 2V5A1933004309, 2V5A1933004280, 2V5A1904001055",Computer Laboratory,10,2026-01-04 09:48:02.4158+00
239,Mouse and Keyboard,A4Tech,10,pcs,N/A,Computer Laboratory,In Stock,Available,"SN: PE1908010570, PE1908010567, PE1908010568, PE1908010560, PE1908010563, PE1908010565, PE1908010569, PE1908010562, PE1908010566, PE1908010564",Computer Laboratory,1,2026-01-04 09:48:02.4158+00
240,Power Cord,FESTO,10,pcs,N/A,Computer Laboratory,In Stock,Available,,Computer Laboratory,10,2026-01-04 09:48:02.4158+00
241,PIC Microcontroller System Trainer,MTS-887 PIC16F,10,pcs,N/A,Computer Laboratory,In Stock,Available,"SN: C-429845, C-429864, C-429871, C-429848, C-429867, C-429869, C-429868, C-429863, C-429872, C-429870",Computer Laboratory,1,2026-01-04 09:48:02.4158+00
242,LAN Cable,N/A,10,pcs,N/A,Computer Laboratory,In Stock,Available,,Computer Laboratory,10,2026-01-04 09:48:02.4158+00
243,Tutor for Arduino,MTS-101,3,pcs,N/A,Computer Laboratory,In Stock,Available,,Computer Laboratory,1,2026-01-04 09:48:02.4158+00
244,Laptop,Samsung R580,1,pcs,N/A,Computer Laboratory,In Stock,Available,i5Core 4abram,Computer Laboratory,1,2026-01-04 09:48:02.4158+00
245,Thermal Expansion,N/A,8,pcs,N/A,Physics Laboratory,In Stock,Available,,Physics Laboratory,8,2026-01-04 09:48:02.4158+00
247,Field Mapper Set,N/A,8,pcs,N/A,Physics Laboratory,In Stock,Available,,Physics Laboratory,4,2026-01-04 09:48:02.4158+00
248,Galvanometer,N/A,8,pcs,N/A,Physics Laboratory,In Stock,Available,,Physics Laboratory,4,2026-01-04 09:48:02.4158+00
249,Bullet-Shape Metal,N/A,24,pcs,N/A,Physics Laboratory,In Stock,Available,,Physics Laboratory,4,2026-01-04 09:48:02.4158+00
251,"Metal Ball (1/2"")",N/A,39,pcs,N/A,Physics Laboratory,In Stock,Available,,Physics Laboratory,4,2026-01-04 09:48:02.4158+00
253,Thread Spool,N/A,10,pcs,N/A,Physics Laboratory,In Stock,Available,,Physics Laboratory,4,2026-01-04 09:48:02.4158+00
254,Discover Density Set,N/A,8,pcs,N/A,Physics Laboratory,In Stock,Available,,Physics Laboratory,4,2026-01-04 09:48:02.4158+00
256,Triple Beam Table,N/A,16,pcs,N/A,Physics Laboratory,In Stock,Available,"15pcs (W), 1pc (da)",Physics Laboratory,4,2026-01-04 09:48:02.4158+00
257,Mechanical Equivalent of Heat,N/A,8,pcs,N/A,Physics Laboratory,In Stock,Available,0,Physics Laboratory,3,2026-01-04 09:48:02.4158+00
260,Metal Conductor with Insulated Handle,N/A,4,pcs,N/A,Physics Laboratory,In Stock,Available,,Physics Laboratory,4,2026-01-04 09:48:02.4158+00
261,Compass Rose,N/A,8,pcs,N/A,Physics Laboratory,In Stock,Available,,Physics Laboratory,4,2026-01-04 09:48:02.4158+00
262,Spring Balance,N/A,24,pcs,N/A,Physics Laboratory,In Stock,Available,,Physics Laboratory,4,2026-01-04 09:48:02.4158+00
263,Concave Lens (f= -20 cm),N/A,8,pcs,N/A,Physics Laboratory,In Stock,Available,,Physics Laboratory,4,2026-01-04 09:48:02.4158+00
264,Convex Lens,N/A,8,pcs,N/A,Physics Laboratory,In Stock,Available,,Physics Laboratory,4,2026-01-04 09:48:02.4158+00
265,Atwood's Machine,N/A,8,pcs,N/A,Physics Laboratory,In Stock,Available,,Physics Laboratory,4,2026-01-04 09:48:02.4158+00
266,Tuning Fork Set,N/A,8,pcs,N/A,Physics Laboratory,In Stock,Available,,Physics Laboratory,4,2026-01-04 09:48:02.4158+00
267,Micrometer,N/A,8,pcs,N/A,Physics Laboratory,In Stock,Available,,Physics Laboratory,4,2026-01-04 09:48:02.4158+00
268,"Solenoid, Air Core",N/A,8,pcs,N/A,Physics Laboratory,In Stock,Available,,Physics Laboratory,4,2026-01-04 09:48:02.4158+00
269,Tesla Meter,N/A,4,pcs,N/A,Physics Laboratory,In Stock,Available,,Physics Laboratory,4,2026-01-04 09:48:02.4158+00
270,Support Rod (Short and Copper-Colored),N/A,24,pcs,N/A,Physics Laboratory,In Stock,Available,,Physics Laboratory,4,2026-01-04 09:48:02.4158+00
272,Basic Coil Set,N/A,8,pcs,N/A,Physics Laboratory,In Stock,Available,,Physics Laboratory,4,2026-01-04 09:48:02.4158+00
273,Hooke's Law Spring Set (packs),N/A,8,pcs,N/A,Physics Laboratory,Low Stock,Available,0,Physics Laboratory,10,2026-01-04 09:48:02.4158+00
275,Calorimeter,N/A,8,pcs,N/A,Physics Laboratory,In Stock,Available,,Physics Laboratory,4,2026-01-04 09:48:02.4158+00
277,Series/Parallel Spring Set,N/A,2,boxes,N/A,Physics Laboratory,In Stock,Available,,Physics Laboratory,1,2026-01-04 09:48:02.4158+00
279,wooden plank,N/A,8,pcs,N/A,Physics Laboratory,In Stock,Available,,Physics Laboratory,4,2026-01-04 09:48:02.4158+00
280,Steam Generator,N/A,8,pcs,N/A,Physics Laboratory,In Stock,Available,,Physics Laboratory,4,2026-01-04 09:48:02.4158+00
281,Metal Stand with Base,N/A,8,pcs,N/A,Physics Laboratory,In Stock,Available,,Physics Laboratory,4,2026-01-04 09:48:02.4158+00
282,Universal Clamp,N/A,16,pcs,N/A,Physics Laboratory,In Stock,Available,,Physics Laboratory,4,2026-01-04 09:48:02.4158+00
284,Free Fall Aparatus,N/A,20,pcs,N/A,Physics Laboratory,In Stock,Available,,Physics Laboratory,4,2026-01-04 09:48:02.4158+00
285,Slotted Mass Hanger,N/A,8,pcs,N/A,Physics Laboratory,In Stock,Available,,Physics Laboratory,4,2026-01-04 09:48:02.4158+00
286,Weight Holder,N/A,32,pcs,N/A,Physics Laboratory,In Stock,Available,,Physics Laboratory,10,2026-01-04 09:48:02.4158+00
287,Hooked Mass Set,N/A,8,pcs,N/A,Physics Laboratory,In Stock,Available,,Physics Laboratory,4,2026-01-04 09:48:02.4158+00
288,Mass and Hanger Set,N/A,8,pcs,Local,Physics Laboratory,In Stock,Available,,Physics Laboratory,4,2026-01-04 09:48:02.4158+00
289,Mass and Hanger Set,N/A,8,pcs,PASCO ME-8979,Physics Laboratory,In Stock,Available,,Physics Laboratory,4,2026-01-04 09:48:02.4158+00
290,Slotted Mass Set,N/A,8,pcs,PASCO ME-8704A,Physics Laboratory,In Stock,Available,,Physics Laboratory,4,2026-01-04 09:48:02.4158+00
291,Slotted Mass Set,N/A,8,pcs,Local,Physics Laboratory,In Stock,Available,,Physics Laboratory,4,2026-01-04 09:48:02.4158+00
293,Horseshoe Magnet,N/A,8,pcs,N/A,Physics Laboratory,In Stock,Available,,Physics Laboratory,4,2026-01-04 09:48:02.4158+00
294,Pulley,N/A,8,pcs,N/A,Physics Laboratory,In Stock,Available,,Physics Laboratory,4,2026-01-04 09:48:02.4158+00
295,Opstic Kit,N/A,8,pcs,N/A,Physics Laboratory,In Stock,Available,,Physics Laboratory,4,2026-01-04 09:48:02.4158+00
297,Burette,"PYREX 2116-50, 50ml with PTFE Stopcock",8,pcs,N/A,Chemistry Laboratory,In Stock,Available,2pcs/spc\r\n2pcs/(da),Chemistry Laboratory,1,2026-01-04 09:48:02.4158+00
298,Glass tubing(6mm),N/A,9,pcs,N/A,Chemistry Laboratory,In Stock,Available,,Chemistry Laboratory,1,2026-01-04 09:48:02.4158+00
